0,1,2,3,4,5,6,7,8,9
"(3, 15)","(6, 11)","(6, 17)","(3, 14)","(6, 19)","(10, 7)","(6, 37)","(6, 32)","(6, 22)","(6, 6)"
"(2, 16)","(5, 12)","(5, 9)","(5, 25)","(5, 13)","(9, 5)","(5, 4)","(5, 20)","(5, 35)","(9, 16)"
"(3, 16)","(6, 12)","(6, 9)","(6, 25)","(6, 13)","(10, 5)","(6, 4)","(6, 20)","(6, 35)","(10, 16)"
"(10, 4)","(6, 8)","(17, 1)","(3, 12)","(3, 13)","(19, 1)","(17, 8)","(6, 1)","(16, 4)","(21, 1)"
"(2, 17)","(5, 10)","(5, 15)","(5, 14)","(9, 6)","(5, 7)","(5, 27)","(5, 23)","(5, 31)","(9, 17)"
"(3, 17)","(6, 10)","(6, 15)","(6, 14)","(10, 6)","(6, 7)","(6, 27)","(6, 23)","(6, 31)","(10, 17)"
"(8, 5)","(4, 9)","(12, 2)","(9, 4)","(4, 12)","(1, 18)","(13, 2)","(5, 8)","(8, 8)","(12, 9)"
"(8, 6)","(4, 10)","(12, 3)","(13, 3)","(1, 17)","(1, 19)","(12, 10)","(9, 3)","(4, 14)","(4, 3)"
"(11, 4)","(7, 8)","(16, 1)","(16, 8)","(23, 1)","(7, 1)","(10, 8)","(14, 1)","(7, 5)","(10, 1)"
"(25, 0)","(15, 1)","(20, 1)","(18, 1)","(26, 1)","(9, 4)","(12, 4)","(41, 1)","(39, 1)","(33, 1)"
"(13, 2)","(8, 5)","(18, 5)","(4, 9)","(15, 5)","(12, 2)","(5, 5)","(4, 12)","(20, 5)","(1, 18)"
"(13, 3)","(8, 6)","(4, 10)","(18, 6)","(12, 3)","(15, 6)","(5, 6)","(20, 6)","(4, 14)","(9, 3)"
"(14, 2)","(19, 5)","(11, 5)","(6, 5)","(21, 5)","(17, 5)","(6, 8)","(16, 2)","(36, 5)","(19, 8)"
"(14, 3)","(19, 6)","(11, 6)","(6, 6)","(21, 6)","(17, 6)","(16, 3)","(36, 6)","(6, 11)","(43, 6)"
"(7, 8)","(11, 4)","(16, 1)","(11, 12)","(11, 9)","(16, 8)","(23, 1)","(17, 4)","(10, 8)","(7, 1)"
"(26, 0)","(24, 1)","(25, 1)","(22, 1)","(12, 1)","(30, 1)","(46, 1)","(54, 1)","(20, 0)","(18, 0)"
"(8, 7)","(4, 11)","(12, 11)","(4, 17)","(9, 11)","(1, 23)","(1, 15)","(8, 10)","(1, 14)","(9, 6)"
