0,1,2
"(36, 1)","(49, 0)","(27, 4)"
"(1, 39)","(0, 54)","(4, 25)"
"(10, 13)","(6, 21)","(14, 9)"
"(10, 14)","(14, 10)","(6, 22)"
"(37, 1)","(5, 24)","(2, 33)"
"(5, 24)","(37, 1)","(2, 33)"
"(6, 24)","(3, 33)","(3, 34)"
"(13, 10)","(20, 6)","(18, 6)"
"(14, 10)","(21, 6)","(19, 6)"
"(9, 16)","(2, 34)","(15, 9)"
"(3, 34)","(6, 24)","(10, 16)"
"(2, 34)","(9, 16)","(5, 24)"
"(9, 15)","(15, 11)","(5, 19)"
"(7, 19)","(11, 14)","(11, 15)"
"(2, 35)","(5, 34)","(2, 36)"
"(3, 35)","(6, 34)","(3, 36)"
"(20, 5)","(13, 9)","(12, 9)"
"(10, 16)","(17, 9)","(23, 5)"
"(0, 54)","(1, 39)","(4, 25)"
"(10, 15)","(17, 11)","(10, 14)"
"(20, 6)","(13, 10)","(12, 10)"
"(9, 17)","(15, 10)","(22, 6)"
"(21, 5)","(16, 9)","(14, 9)"
"(14, 11)","(10, 17)","(17, 10)"
"(14, 11)","(10, 17)","(17, 10)"
"(13, 11)","(18, 7)","(20, 7)"
"(22, 5)","(15, 9)","(9, 16)"
"(21, 6)","(14, 10)","(16, 10)"
"(2, 36)","(5, 21)","(2, 35)"
"(3, 36)","(6, 21)","(3, 35)"
"(22, 6)","(9, 17)","(35, 3)"
"(23, 5)","(17, 9)","(10, 16)"
"(50, 0)","(51, 1)","(37, 1)"
"(51, 0)","(50, 1)","(25, 4)"
"(23, 6)","(10, 17)","(17, 10)"
"(2, 37)","(5, 23)","(5, 27)"
"(3, 37)","(6, 23)","(6, 27)"
"(4, 27)","(8, 19)","(1, 37)"
"(11, 14)","(7, 22)","(16, 11)"
"(30, 2)","(25, 4)","(18, 5)"
"(30, 3)","(18, 6)","(20, 6)"
"(11, 13)","(7, 21)","(23, 5)"
"(25, 4)","(30, 2)","(39, 1)"
"(52, 0)","(36, 1)","(53, 1)"
"(16, 9)","(11, 16)","(21, 5)"
"(15, 9)","(22, 5)","(9, 16)"
"(53, 0)","(52, 1)","(42, 1)"
"(19, 7)","(14, 11)","(16, 11)"
"(7, 20)","(16, 9)","(11, 16)"
"(16, 10)","(11, 17)","(21, 6)"
"(11, 15)","(16, 11)","(7, 22)"
"(17, 9)","(23, 5)","(7, 21)"
"(31, 2)","(32, 5)","(21, 5)"
"(31, 3)","(32, 6)","(21, 6)"
"(7, 21)","(17, 9)","(11, 13)"
"(15, 10)","(9, 17)","(22, 6)"
"(7, 22)","(11, 15)","(11, 14)"
"(38, 1)","(43, 0)","(53, 0)"
"(0, 55)","(1, 46)","(1, 54)"
"(11, 16)","(16, 9)","(7, 20)"
"(32, 2)","(31, 5)","(23, 5)"
"(32, 3)","(31, 6)","(23, 6)"
"(7, 23)","(16, 10)","(11, 17)"
"(26, 4)","(24, 5)","(24, 8)"
"(17, 10)","(16, 11)","(10, 17)"
"(15, 11)","(22, 7)","(9, 15)"
"(0, 56)","(1, 41)","(1, 58)"
"(11, 17)","(17, 11)","(16, 10)"
"(8, 18)","(12, 12)","(18, 8)"
"(16, 11)","(17, 10)","(11, 15)"
"(24, 5)","(26, 4)","(33, 2)"
"(24, 6)","(20, 7)","(33, 3)"
"(17, 11)","(11, 17)","(16, 10)"
"(20, 7)","(24, 6)","(13, 11)"
"(1, 40)","(0, 58)","(4, 37)"
"(12, 12)","(8, 18)","(18, 8)"
"(1, 41)","(0, 56)","(4, 29)"
"(21, 7)","(16, 11)","(17, 10)"
"(33, 2)","(24, 5)","(34, 5)"
"(33, 3)","(24, 6)","(34, 6)"
"(0, 57)","(1, 39)","(1, 42)"
"(22, 7)","(15, 11)","(18, 11)"
"(7, 24)","(11, 21)","(11, 18)"
"(27, 4)","(19, 8)","(36, 1)"
"(39, 1)","(28, 4)","(54, 0)"
"(0, 58)","(1, 40)","(1, 56)"
"(23, 7)","(17, 11)","(21, 11)"
"(18, 8)","(12, 12)","(13, 12)"
"(2, 38)","(5, 19)","(5, 43)"
"(3, 38)","(6, 19)","(6, 43)"
"(34, 2)","(33, 5)","(18, 8)"
"(34, 3)","(33, 6)","(35, 6)"
"(1, 42)","(4, 28)","(0, 60)"
"(5, 25)","(2, 39)","(9, 16)"
"(6, 25)","(3, 39)","(10, 16)"
"(35, 2)","(22, 5)","(24, 5)"
"(35, 3)","(22, 6)","(24, 6)"
"(29, 4)","(40, 1)","(19, 8)"
"(54, 0)","(28, 4)","(41, 1)"
"(28, 4)","(54, 0)","(39, 1)"
"(8, 19)","(4, 27)","(12, 14)"
"(5, 26)","(9, 24)","(9, 25)"
"(6, 26)","(10, 24)","(10, 25)"
"(0, 59)","(1, 44)","(1, 57)"
"(40, 1)","(29, 4)","(55, 0)"
"(24, 7)","(18, 11)","(20, 11)"
"(19, 8)","(14, 12)","(27, 4)"
"(2, 39)","(5, 25)","(5, 30)"
"(3, 39)","(6, 25)","(6, 30)"
"(4, 29)","(1, 43)","(1, 41)"
"(4, 28)","(1, 42)","(0, 60)"
"(36, 2)","(27, 5)","(23, 5)"
"(36, 3)","(27, 6)","(23, 6)"
"(8, 20)","(12, 16)","(15, 12)"
"(13, 12)","(20, 8)","(8, 21)"
"(1, 43)","(4, 29)","(4, 27)"
"(37, 2)","(41, 1)","(13, 12)"
"(37, 3)","(35, 6)","(20, 6)"
"(41, 1)","(28, 4)","(37, 2)"
"(55, 0)","(40, 1)","(29, 4)"
"(8, 22)","(12, 14)","(12, 15)"
"(14, 12)","(19, 8)","(21, 8)"
"(0, 60)","(1, 45)","(1, 42)"
"(8, 21)","(12, 13)","(13, 12)"
"(12, 16)","(15, 12)","(8, 20)"
"(8, 23)","(12, 17)","(12, 22)"
"(1, 44)","(4, 33)","(8, 20)"
"(20, 8)","(12, 13)","(8, 21)"
"(4, 30)","(20, 8)","(12, 13)"
"(4, 30)","(12, 13)","(20, 8)"
"(12, 14)","(8, 22)","(8, 19)"
"(21, 8)","(16, 12)","(14, 12)"
"(22, 8)","(12, 16)","(18, 9)"
"(5, 27)","(9, 19)","(12, 17)"
"(6, 27)","(10, 19)","(3, 37)"
"(56, 0)","(46, 1)","(54, 1)"
"(23, 8)","(17, 12)","(21, 9)"
"(12, 15)","(8, 19)","(15, 17)"
"(12, 17)","(8, 23)","(15, 15)"
"(8, 24)","(4, 33)","(9, 18)"
"(7, 25)","(16, 12)","(11, 18)"
"(42, 1)","(57, 0)","(36, 4)"
"(25, 5)","(12, 16)","(18, 9)"
"(0, 61)","(1, 62)","(1, 51)"
"(16, 12)","(21, 8)","(17, 16)"
"(25, 6)","(39, 3)","(20, 10)"
"(0, 62)","(1, 61)","(1, 50)"
"(1, 45)","(4, 35)","(4, 30)"
