0,1,2,3,4,5,6,7,8,9
"(2, 13)","(4, 12)","(4, 10)","(4, 9)","(2, 11)","(4, 15)","(4, 18)","(4, 5)","(1, 15)","(6, 7)"
"(21, 0)","(11, 1)","(20, 1)","(22, 1)","(18, 1)","(23, 1)","(15, 1)","(17, 0)","(35, 1)","(8, 3)"
"(4, 8)","(2, 12)","(6, 5)","(2, 10)","(6, 10)","(6, 9)","(7, 4)","(2, 9)","(6, 4)","(8, 4)"
"(11, 2)","(7, 4)","(8, 4)","(5, 6)","(12, 4)","(13, 4)","(10, 2)","(5, 7)","(14, 4)","(7, 5)"
"(4, 9)","(2, 14)","(6, 6)","(6, 7)","(12, 2)","(2, 11)","(2, 7)","(9, 4)","(2, 13)","(7, 7)"
"(12, 2)","(9, 4)","(4, 9)","(10, 4)","(11, 4)","(13, 2)","(6, 6)","(20, 4)","(5, 4)","(2, 14)"
"(8, 4)","(11, 2)","(10, 2)","(14, 1)","(5, 6)","(5, 7)","(10, 3)","(10, 6)","(9, 6)","(4, 8)"
"(14, 1)","(22, 0)","(9, 3)","(11, 3)","(23, 0)","(10, 3)","(18, 0)","(8, 4)","(15, 3)","(20, 0)"
"(0, 23)","(1, 16)","(1, 17)","(1, 14)","(1, 24)","(3, 10)","(1, 26)","(1, 29)","(1, 33)","(1, 20)"
"(15, 1)","(13, 3)","(14, 3)","(13, 2)","(12, 3)","(14, 0)","(7, 3)","(26, 0)","(17, 0)","(13, 0)"
"(13, 2)","(9, 4)","(15, 1)","(6, 6)","(11, 4)","(10, 4)","(12, 2)","(15, 4)","(4, 9)","(2, 14)"
"(9, 4)","(6, 6)","(12, 2)","(7, 6)","(13, 2)","(14, 2)","(4, 9)","(2, 14)","(4, 10)","(7, 2)"
"(3, 10)","(5, 7)","(1, 17)","(5, 6)","(7, 5)","(5, 8)","(1, 11)","(1, 13)","(3, 9)","(1, 14)"
"(2, 14)","(4, 9)","(9, 4)","(4, 12)","(4, 10)","(4, 15)","(6, 6)","(6, 7)","(4, 22)","(4, 19)"
"(22, 0)","(16, 1)","(14, 1)","(23, 0)","(21, 1)","(11, 3)","(10, 3)","(9, 3)","(29, 1)","(17, 1)"
"(2, 15)","(5, 7)","(7, 5)","(3, 10)","(10, 3)","(3, 12)","(3, 9)","(9, 3)","(11, 3)","(6, 5)"
"(5, 7)","(7, 5)","(2, 15)","(3, 10)","(10, 3)","(3, 12)","(3, 9)","(9, 3)","(11, 3)","(6, 5)"
"(6, 6)","(9, 4)","(4, 9)","(4, 10)","(9, 5)","(10, 4)","(7, 6)","(5, 9)","(14, 2)","(6, 7)"
"(10, 3)","(5, 7)","(7, 5)","(16, 1)","(3, 12)","(8, 5)","(17, 1)","(12, 1)","(3, 10)","(6, 5)"
"(16, 1)","(23, 0)","(22, 0)","(10, 3)","(5, 7)","(14, 1)","(7, 5)","(17, 1)","(11, 3)","(3, 12)"
"(1, 16)","(0, 23)","(10, 3)","(3, 10)","(0, 22)","(1, 17)","(3, 23)","(5, 7)","(0, 25)","(3, 22)"
"(0, 24)","(1, 18)","(1, 19)","(1, 25)","(3, 11)","(1, 23)","(1, 22)","(3, 13)","(1, 15)","(3, 17)"
"(7, 5)","(10, 3)","(5, 7)","(3, 12)","(11, 3)","(8, 5)","(9, 3)","(5, 8)","(17, 1)","(5, 6)"
"(23, 0)","(16, 1)","(14, 1)","(7, 5)","(17, 1)","(22, 0)","(26, 1)","(5, 7)","(10, 3)","(21, 1)"
